,createdAt,entity,entityType,label,chain_id,confidence,remove,alert_id
0,2023-03-16 22:35:40.438419694+00:00,0x7f29b85834d6a2ba4bb1c64325686c6057b1b3c5,ADDRESS,token contract,,1,False,label-sync
0,2023-03-16 22:35:40.438419694+00:00,0x0000000000000000000000000000000000000000,ADDRESS,blocked,,1,False,label-sync
0,2023-03-16 22:35:40.438419694+00:00,0xb207801d0fa6afe0c47e9d062adbe9894832df38,ADDRESS,safe multisig,,1,False,label-sync
0,2023-03-16 22:35:40.438419694+00:00,0xed5464bd5c477b7f71739ce1d741b43e932b97b0,ADDRESS,name|bulls u0026amp; apes: deployer,,1,False,label-sync
0,2023-03-16 22:35:42.242602866+00:00,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,ADDRESS,name|flashbots: builder,,1,False,label-sync
0,2023-03-16 22:36:01.196298322+00:00,0x495f947276749ce646f68ac8c248420045cb7b5e,ADDRESS,name|opensea: openstore token,,1,False,label-sync
0,2023-03-16 22:36:03.580915514+00:00,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,ADDRESS,name|binance us 3,,1,False,label-sync
0,2023-03-16 22:36:03.580915514+00:00,0x4e15361fd6b4bb609fa63c81a2be19d873717870,ADDRESS,name|fantom: ftm token,,1,False,label-sync
0,2023-03-16 22:36:05.102668015+00:00,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,ADDRESS,kraken,,1,False,label-sync
0,2023-03-16 22:36:08.199469960+00:00,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ADDRESS,name|centre: usd coin,,1,False,label-sync
0,2023-03-16 22:36:08.199469960+00:00,0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf,ADDRESS,name|circle: deployer,,1,False,label-sync
0,2023-03-16 22:36:10.208950809+00:00,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,ADDRESS,yearn.finance,,1,False,label-sync
0,2023-03-16 22:36:33.344834486+00:00,0x909116fcba27322265a8e43a18bbe3abe64cc42a,ADDRESS,uniswap,,1,False,label-sync
0,2023-03-16 22:36:34.905862332+00:00,0x5283d291dbcf85356a21ba090e6db59121208b44,ADDRESS,marketplace,,1,False,label-sync
0,2023-03-16 22:37:02.701684747+00:00,0x314159265dd8dbb310642f98f50c066173c1259b,ADDRESS,ens,,1,False,label-sync
0,2023-03-16 22:37:02.701684747+00:00,0xa2c122be93b0074270ebee7f6b7292c7deb45047,ADDRESS,name|ens: default reverse resolver,,1,False,label-sync
0,2023-03-16 22:37:02.701684747+00:00,0x084b1c3c81545d370f3634392de611caabff8148,ADDRESS,name|ens: reverse registrar,,1,False,label-sync
0,2023-03-16 22:37:09.002980336+00:00,0x6fc73113fc1afab4c28d3dd4c537a1da6045d47d,ADDRESS,name|trending ai: trendai token,,1,False,label-sync
0,2023-03-16 22:46:48.689327519+00:00,0x0e846005038edecb8bdb95a73a19d210b998d896,ADDRESS,name|bermuda: deployer,,1,False,label-sync
0,2023-03-16 22:47:48.791594642+00:00,0xdc7d8cc3a22fe0ec69770e02931f43451b7b975e,ADDRESS,name|uniswap v2: ewtb,,1,False,label-sync
0,2023-03-16 22:48:18.998817875+00:00,0xe4335ceb65fd30159be4e0ece9561e033d32cab0,ADDRESS,name|bancor: converter 608,,1,False,label-sync
0,2023-03-16 22:48:18.998817875+00:00,0xab7ae646063087317c1f410c6661364779f87d73,ADDRESS,name|bancor: converter 558,,1,False,label-sync
0,2023-03-16 23:22:41.540655063+00:00,0x1c9922314ed1415c95b9fd453c3818fd41867d0b,ADDRESS,gaming,,1,False,label-sync
0,2023-03-16 23:22:41.540655063+00:00,0xda9fdab21bc4a5811134a6e0ba6ca06624e67c07,ADDRESS,marketplace,,1,False,label-sync
0,2023-03-17 01:22:51.350773216+00:00,0x5f927395213ee6b95de97bddcb1b2b1c0f16844f,ADDRESS,mev builder,,1,False,label-sync
0,2023-03-17 01:22:51.350773216+00:00,0xf8b721bff6bf7095a0e10791ce8f998baa254fd0,ADDRESS,mev bot,,1,False,label-sync
0,2023-03-17 01:22:51.350773216+00:00,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,ADDRESS,uniswap,,1,False,label-sync
0,2023-03-17 01:22:51.350773216+00:00,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ADDRESS,token contract,,1,False,label-sync
0,2023-03-17 01:22:58.309167872+00:00,0x60594a405d53811d3bc4766596efd80fd545a270,ADDRESS,name|uniswap v3: dai 2,,1,False,label-sync
0,2023-03-17 01:22:58.309167872+00:00,0x6b175474e89094c44da98b954eedeac495271d0f,ADDRESS,defi,,1,False,label-sync
0,2023-03-17 01:23:02.315624320+00:00,0xdac17f958d2ee523a2206206994597c13d831ec7,ADDRESS,bitfinex,,1,False,label-sync
0,2023-03-17 01:23:07.454636793+00:00,0xbb3fd383d1c5540e52ef0a7bcb9433375793aeaf,ADDRESS,exchange,,1,False,label-sync
0,2023-03-17 01:23:12.813506726+00:00,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,ADDRESS,staking,,1,False,label-sync
0,2023-03-17 01:23:12.813506726+00:00,0x0a55882f4e1117adc54afbbac4a39079ad52fb89,ADDRESS,name|uniswap v3: ssv,,1,False,label-sync
0,2023-03-17 01:23:12.813506726+00:00,0x000000000dfde7deaf24138722987c9a6991e2d4,ADDRESS,mev bot,,1,False,label-sync
0,2023-03-17 01:23:14.809383192+00:00,0x54d70f1e9dad6916acd64fa985159932ff572b1d,ADDRESS,name|uniswap v2: $capy,,1,False,label-sync
0,2023-03-17 01:23:27.767312973+00:00,0x38e0ca7a0f31993db3c7c7ffaaa0692a78d1cf4e,ADDRESS,name|uniswap v2: tgd 2,,1,False,label-sync
0,2023-03-17 01:23:27.767312973+00:00,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,ADDRESS,uniswap,,1,False,label-sync
0,2023-03-17 01:23:27.767312973+00:00,0x000000000022d473030f116ddee9f6b43ac78ba3,ADDRESS,uniswap,,1,False,label-sync
0,2023-03-17 01:23:31.407417765+00:00,0x5eb5babcefea846b220c82f222f00df95934f5f0,ADDRESS,name|zora labs: deployer 2,,1,False,label-sync
0,2023-03-17 01:23:31.407417765+00:00,0xe626d419dd60be8038c46381ad171a0b3d22ed25,ADDRESS,safe multisig,,1,False,label-sync
0,2023-03-17 01:23:31.407417765+00:00,0x1bbec3ef715cce96b715bc0aa8fef8989f7ad3b2,ADDRESS,name|bobu the bean farmer: deployer,,1,False,label-sync
0,2023-03-17 01:23:45.292466308+00:00,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,ADDRESS,fund,,1,False,label-sync
0,2023-03-17 01:23:48.370329814+00:00,0xbe9c50274f881395e97ff0fde8c00e51aaf645b3,ADDRESS,name|mojoheads: deployer,,1,False,label-sync
0,2023-03-17 01:23:50.896236909+00:00,0x26607710b1fea9e3a59f277cc93c8d175e73b453,ADDRESS,name|uniswap v2: loot 19,,1,False,label-sync
0,2023-03-17 01:23:52.218536412+00:00,0x974caa59e49682cda0ad2bbe82983419a2ecc400,ADDRESS,gambling,,1,False,label-sync
0,2023-03-17 01:23:54.682717817+00:00,0x43a96962254855f16b925556f9e97be436a43448,ADDRESS,defi,,1,False,label-sync
0,2023-03-17 01:24:05.260361054+00:00,0x0bc3f10456a6011be63edb517fad5c21846657ec,ADDRESS,safe multisig,,1,False,label-sync
0,2023-03-17 01:24:09.467838248+00:00,0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,ADDRESS,arbitrum one,,1,False,label-sync
0,2023-03-17 01:24:09.467838248+00:00,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,ADDRESS,name|arbitrum: delayed inbox,,1,False,label-sync
0,2023-03-17 01:24:11.439497068+00:00,0xd1d1d4e36117ab794ec5d4c78cbd3a8904e691d0,ADDRESS,safe multisig,,1,False,label-sync
0,2023-03-17 01:24:11.439497068+00:00,0x0000000000000000000000000000000000000001,ADDRESS,burn,,1,False,label-sync
0,2023-03-17 01:24:42.990102042+00:00,0x5e4e65926ba27467555eb562121fac00d24e9dd2,ADDRESS,name|optimism: canonical transaction chain,,1,False,label-sync
0,2023-03-17 01:24:42.990102042+00:00,0xde1fcfb0851916ca5101820a69b13a4e276bd81f,ADDRESS,name|optimism: lib address manager,,1,False,label-sync
0,2023-03-17 01:24:42.990102042+00:00,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,ADDRESS,bridge,,1,False,label-sync
0,2023-03-17 01:24:42.990102042+00:00,0x914f986a44acb623a277d6bd17368171fcbe4273,ADDRESS,bridge,,1,False,label-sync
0,2023-03-17 01:24:42.990102042+00:00,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,ADDRESS,optimism,,1,False,label-sync
0,2023-03-17 01:24:42.990102042+00:00,0x881296edcb252080bd476c464ceb521d08df7631,ADDRESS,name|hop protocol: hop bonder,,1,False,label-sync
0,2023-03-17 01:24:42.990102042+00:00,0xd9166833ff12a5f900ccfbf2c8b62a90f1ca1fd5,ADDRESS,name|optimism: contract deployer 2,,1,False,label-sync
0,2023-03-17 01:24:44.038420426+00:00,0x6c410cf0b8c113dc6a7641b431390b11d5515082,ADDRESS,nft,,1,False,label-sync
0,2023-03-17 01:24:55.745623429+00:00,0x0077732907bfc6208933cfd2a51afb8f33ca5958,ADDRESS,proposer fee recipient,,1,False,label-sync
0,2023-03-17 01:25:00.120480656+00:00,0xdb02d6827220475ece91893255fdf57bed51aee3,ADDRESS,uniswap,,1,False,label-sync
0,2023-03-17 01:25:00.120480656+00:00,0x3416cf6c708da44db2624d63ea0aaef7113527c6,ADDRESS,uniswap,,1,False,label-sync
0,2023-03-17 01:25:00.120480656+00:00,0x1111111254eeb25477b68fb85ed929f73a960582,ADDRESS,name|1inch v5: aggregation router,,1,False,label-sync
0,2023-03-17 01:25:05.564951068+00:00,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ADDRESS,wrapped bitcoin,,1,False,label-sync
0,2023-03-17 01:25:05.564951068+00:00,0xc4ad29ba4b3c580e6d59105fff484999997675ff,ADDRESS,name|curve.fi: deployer 2,,1,False,label-sync
0,2023-03-17 01:25:05.564951068+00:00,0xd51a44d3fae010294c616388b506acda1bfaae46,ADDRESS,name|curve.fi: usdt/wbtc/weth pool,,1,False,label-sync
0,2023-03-17 01:25:05.564951068+00:00,0x8f68f4810cce3194b6cb6f3d50fa58c2c9bdd1d5,ADDRESS,name|curve.fi: deployer 2,,1,False,label-sync
0,2023-03-17 01:49:24.782733860+00:00,0x1cc05337fe9bca4fc5d569cfd56df31ceabc2bcb,ADDRESS,name|uniswap v3: chr 3,,1,False,label-sync
0,2023-03-17 01:49:56.964048248+00:00,0x766c64d809056fbb492fdb410a6b4857c015619a,ADDRESS,dao voter,,1,False,label-sync
0,2023-03-17 01:49:56.964048248+00:00,0x6125ea331851367716bee301ecde7f38a7e429e7,ADDRESS,name|the graph: deployer,,1,False,label-sync
0,2023-03-17 01:50:24.627784633+00:00,0xaef52f72583e6c4478b220da82321a6a023eee50,ADDRESS,name|uniswap v3: gear 2,,1,False,label-sync
0,2023-03-17 01:50:25.788414672+00:00,0x192ce8267cbab9c3c477d61e85d7f0c5fe3b46af,ADDRESS,name|zora labs: deployer 2,,1,False,label-sync
0,2023-03-17 01:50:25.788414672+00:00,0xf74b146ce44cc162b601dec3be331784db111dc1,ADDRESS,name|zora labs: contract factory,,1,False,label-sync
0,2023-03-17 01:50:25.788414672+00:00,0x97898683c6950a986911fdffea12739bad5d2581,ADDRESS,name|zora labs: deployer 2,,1,False,label-sync
0,2023-03-17 01:50:53.996092421+00:00,0x4a8c9d751eeabc5521a68fb080dd7e72e46462af,ADDRESS,token contract,,1,False,label-sync
0,2023-03-17 01:50:56.216825995+00:00,0x3702f4c46785bbd947d59a2516ac1ea30f2babf2,ADDRESS,nft,,1,False,label-sync
0,2023-03-17 01:50:57.512420700+00:00,0x21645b9ca70ab6ee801d605f5704667d14132db9,ADDRESS,name|beo: deployer,,1,False,label-sync
0,2023-03-17 01:50:57.512420700+00:00,0xaa0d34b3ac6420b769dde4783bb1a95f157dddf5,ADDRESS,name|beo: deployer,,1,False,label-sync
